e,d_e,y_diff
0.0,-0.010000000000000009,-0.4
0.009999999999999953,0.009999999999999953,-0.39
0.020000000000000018,0.010000000000000064,-0.41
-0.06,-0.08000000000000002,-0.43
-0.030000000000000027,0.02999999999999997,-0.43
-0.010000000000000009,0.020000000000000018,-0.43
-0.029999999999999916,-0.019999999999999907,-0.41
0.0,0.029999999999999916,-0.42
-0.030000000000000027,-0.030000000000000027,-0.45
-0.040000000000000036,-0.010000000000000009,-0.45
0.010000000000000009,0.050000000000000044,-0.45
-0.020000000000000018,-0.030000000000000027,-0.44
1.4100000000000001,1.4300000000000002,0.5
-1.35,-2.7600000000000002,0.43
0.6799999999999999,2.0300000000000002,-0.14
-0.01999999999999999,-0.7,-0.08
-0.020000000000000004,-1.3877787807814457e-17,-0.05
-0.010000000000000002,0.010000000000000002,-0.03
0.030000000000000006,0.04000000000000001,-0.05
0.01999999999999999,-0.010000000000000016,-0.07
0.06,0.04000000000000001,-0.09
0.010000000000000009,-0.04999999999999999,-0.11
0.03,0.01999999999999999,-0.14
0.04000000000000001,0.010000000000000009,-0.16
0.009999999999999981,-0.030000000000000027,-0.18
0.030000000000000027,0.020000000000000046,-0.18
0.019999999999999962,-0.010000000000000064,-0.19
0.020000000000000018,5.551115123125783e-17,-0.21
0.020000000000000018,0.0,-0.21
0.010000000000000009,-0.010000000000000009,-0.22
0.009999999999999953,-5.551115123125783e-17,-0.22
0.030000000000000027,0.020000000000000073,-0.24
-0.010000000000000009,-0.040000000000000036,-0.22
0.03999999999999998,0.04999999999999999,-0.21
0.010000000000000009,-0.02999999999999997,-0.21
-1.39,-1.4,-0.2
1.42,2.8099999999999996,-0.2
0.019999999999999962,-1.4,-0.19
0.030000000000000027,0.010000000000000064,-0.2
0.010000000000000009,-0.020000000000000018,-0.22
0.0,-0.010000000000000009,-0.21
0.020000000000000018,0.020000000000000018,-0.21
0.0,-0.020000000000000018,-0.21
-0.010000000000000009,-0.010000000000000009,-0.22
0.030000000000000027,0.040000000000000036,-0.3
0.019999999999999907,-0.01000000000000012,-0.31
